#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Campylobacter jejuni subsp. jejuni 81-176	354242	PRJNA12596	12596	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni subsp. jejuni 81-176	354242	PRJNA13965	13965	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni subsp. jejuni 81-176	354242	PRJNA15929	15929	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni	197	PRJNA15934	15934	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni	197	PRJNA16867	16867	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni	197	PRJNA17917	17917	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	NCBI
Campylobacter jejuni subsp. jejuni 414	683083	PRJNA43389	43389	Proteobacteria	delta/epsilon subdivisions	1.71012	30	NZ_CM000855.1	CM000855.1	-	-	ADGM01	1	1840	1800	2010/01/12	2010/06/16	Complete	University of Liverpool
Campylobacter jejuni subsp. jejuni 1336	683082	PRJNA43391	43391	Proteobacteria	delta/epsilon subdivisions	1.70283	30.5	NZ_CM000854.1	CM000854.1	-	-	ADGL01	1	1801	1756	2010/01/12	2010/06/16	Complete	University of Liverpool
Campylobacter jejuni subsp. jejuni P110B	885273	PRJNA52015	52015	Proteobacteria	delta/epsilon subdivisions	1.65634	30.6	-	-	-	-	AEIO01	29	-	-	2012/01/11	2012/01/11	Scaffolds or contigs	Institute of Veterinary, Animal and Biomedical Sciences,  Massey University
Campylobacter jejuni subsp. jejuni H22082	885274	PRJNA52017	52017	Proteobacteria	delta/epsilon subdivisions	1.65912	30.6	-	-	-	-	AEIP01	28	-	-	2012/01/11	2012/01/11	Scaffolds or contigs	Institute of Veterinary, Animal and Biomedical Sciences,  Massey University
Campylobacter jejuni subsp. jejuni 260.94	360108	PRJNA54369	54369	Proteobacteria	delta/epsilon subdivisions	1.65785	30.5	-	-	-	-	AANK01	10	1760	1716	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni CF93-6	360111	PRJNA54373	54373	Proteobacteria	delta/epsilon subdivisions	1.6763	30.4	-	-	-	-	AANJ01	14	1803	1757	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni HB93-13	360112	PRJNA54375	54375	Proteobacteria	delta/epsilon subdivisions	1.69479	30.6	-	-	-	-	AANQ01	35	1710	1710	2006/01/27	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni 84-25	360110	PRJNA54381	54381	Proteobacteria	delta/epsilon subdivisions	1.67162	30.4	-	-	-	-	AANT02	5	1794	1748	2006/02/02	2010/02/03	Scaffolds or contigs	TIGR
Campylobacter jejuni subsp. jejuni CG8486	398000	PRJNA54417	54417	Proteobacteria	delta/epsilon subdivisions	1.59769	30.4	-	-	-	-	AASY01	19	1588	1425	2007/04/25	2010/02/03	Scaffolds or contigs	NMRC
Campylobacter jejuni subsp. jejuni 81-176	354242	PRJNA54451	54451	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	AASL01	1	-	-	2006/07/20	2010/02/03	Complete	Section of Microbial Pathogenesis, School of Medicine, Yale University
Campylobacter jejuni subsp. jejuni CG8421	478547	PRJNA54941	54941	Proteobacteria	delta/epsilon subdivisions	1.60894	30.3	-	-	-	-	ABGQ01	20	1590	1512	2008/09/19	2010/02/03	Scaffolds or contigs	Naval Medical Research Center
